Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
ALPINE,A110,2017 - ,1.8 L 252,215/40 R 18,089Y,245/40 R 18,097Y
ALPINE,A110,2017 - ,1.8 L 252,205/40 R 18,086Y,235/40 R 18,095Y
ALPINE,A110,2017 - ,1.8 L 252,205/45 R 17,088Y,235/45 R 17,097Y
CATERHAM,165,2013 - 2021,"0,6 L 80",155/65 R 14,075T,155/65 R 14,075T
BYD,Seal,2022 - ,Electric 313,235/45 R 19,095Y,235/45 R 19,095Y
GUMPERT,Apollo S,2006 - 2013,4.2 V8 750,265/35 R 19,098ZR(Y),345/30 R 20,106ZR(Y)
LANCIA,Thema AWD,2011 - 2014,3.0 V6 286,235/55 R 19,101H,235/55 R 19,101H
DR AUTOMOBILES,DR 5.0,2022 - ,1.5 L 154,215/55 R 18,095H,215/55 R 18,095H
SSANGYONG,Korando,2006 - 2019,2.2 D 178,215/65 R 16,098H,215/65 R 16,098H
SSANGYONG,Korando,2006 - 2019,2.2 D 178,225/60 R 17,099H,225/60 R 17,099H
SSANGYONG,Korando,2006 - 2019,2.2 D 178,225/55 R 18,098H,225/55 R 18,098H
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 150,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 150,215/75 R 16,103H,215/75 R 16,103H
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 150,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 150,235/55 R 19,101V,235/55 R 19,101V
MORGAN,Aero 8,2008 - 2018,4.8 V8 367,225/40 R 18,092ZR(Y),245/40 R 18,093ZR(Y)
DR AUTOMOBILES,DR 5.0,2022 - ,1.5 L 149,215/55 R 18,095H,215/55 R 18,095H
LAND ROVER,Freelander II,2006 - 2015,2.2 SD4 190,235/55 R 19,101V,235/55 R 19,101V
LAND ROVER,Freelander II,2006 - 2015,2.2 SD4 190,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,2.2 SD4 190,235/60 R 18,103V,235/60 R 18,103V
SSANGYONG,Korando,1988 - 1996,2.2 D 68,215/75 R 15,100S,215/75 R 15,100S
DR AUTOMOBILES,DR 5.0,2022 - ,1.5 L 114,215/55 R 18,095H,215/55 R 18,095H
ALPINE,A110 S,2017 - ,1.8 L 292,215/40 R 18,089Y,245/40 R 18,097Y
CATERHAM,620R,2013 - ,2.0 L 310,185/55 R 13,083V,215/55 R 13,088V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 160,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 160,215/75 R 16,103H,215/75 R 16,103H
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 160,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 160,235/55 R 19,101V,235/55 R 19,101V
BYD,Atto 3 ,2022 - ,Electric 204,215/60 R 17,096H,215/60 R 17,096H
BYD,Atto 3 ,2022 - ,Electric 204,235/50 R 18,101V,235/50 R 18,101V
BYD,Atto 3 ,2022 - ,Electric 204,215/55 R 18,095V,215/55 R 18,095V
ALPINE,A110 S,2022 - ,1.8 L 300,215/40 R 18,089Y,245/40 R 18,097Y
ALPINE,A110 S,2022 - ,1.8 L 300,205/40 R 18,086Y,235/40 R 18,095Y
BYD,Song Plus DM-i,2022 - ,1.5L Hybrid 499,235/50 R 19,099V,235/50 R 19,099V
CATERHAM,620S,2013 - ,2.0 L 310,195/50 R 15,082W,195/50 R 15,082W
GUMPERT,Apollo,2006 - 2013,4.2 V8 700,255/35 R 19,096ZR(Y),345/35 R 19,110ZR(Y)
LANCIA,Delta I 4X4,1979 - 1993,2.0 Turbo,195/55 R 15,084V,195/55 R 15,084V
LANCIA,Delta I 4X4,1979 - 1993,2.0 Turbo,205/50 R 15,000ZR,205/50 R 15,000ZR
LANCIA,Delta I 4X4,1979 - 1993,2.0 Turbo,115/70 R 16,092M,115/70 R 16,092M
DR AUTOMOBILES,DR 5.0,2022 - ,1.5 L 116,215/55 R 18,095H,215/55 R 18,095H
MORGAN,Plus 6,2019 - ,3.0 L 340,225/40 R 18,092Y,245/40 R 18,097Y
MORGAN,Plus 6,2019 - ,3.0 L 340,245/35 R 19,093Y,255/35 R 19,096Y
MORGAN,Plus 6,2019 - ,3.0 L 340,225/35 R 19,088Y,235/35 R 19,096Y
CATERHAM,S7 Competition,1996 - ,2.0 L 150,205/55 R 16,000ZR,225/50 R 16,000ZR
DR AUTOMOBILES,DR 6.0,2022 - ,1.5 L 149,225/55 R 19,099H,225/55 R 19,099H
LAMBORGHINI,Diablo,1990 - 2004,6.0 V12 550,235/35 R 18,000ZR,335/30 R 18,000ZR
DR AUTOMOBILES,DR 6.0,2022 - ,1.5 L 154,225/55 R 19,099H,225/55 R 19,099H
LAND ROVER,Freelander II,2006 - 2015,2.0 Si 241,235/55 R 19,100V,235/55 R 19,100V
LAND ROVER,Freelander II,2006 - 2015,2.0 Si 241,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,2.0 Si 241,235/60 R 18,103V,235/60 R 18,103V
SSANGYONG,Korando,1997 - 2010,2.3 TD 79,235/75 R 15,105T,235/75 R 15,105T
SSANGYONG,Korando,1997 - 2010,2.3 TD 79,255/70 R 15,108H,255/70 R 15,108H
LAMBORGHINI,Diablo,1990 - 2004,5.7 V12 530,245/40 R 17,000ZR,335/35 R 17,000ZR
SSANGYONG,Korando,1997 - 2010,2.9 TD 98,235/75 R 15,105T,235/75 R 15,105T
SSANGYONG,Korando,1997 - 2010,2.9 TD 98,255/70 R 15,108H,255/70 R 15,108H
DAEWOO,Nubira,1997 - 2008,2.0 L 133,195/55 R 15,085V,195/55 R 15,085V
DAEWOO,Nubira,1997 - 2008,2.0 L 133,185/65 R 14,086H,185/65 R 14,086H
SSANGYONG,Korando,1997 - 2010,3.2 L 209,255/70 R 15,108H,255/70 R 15,108H
MORGAN,Plus 4,2011 - 2020,2.0 L 154,205/60 R 15,091V,205/60 R 15,091V
MORGAN,Plus 4,2011 - 2020,2.0 L 154,205/65 R 15,091H,205/65 R 15,091H
MORGAN,Plus 4,2011 - 2020,2.0 L 154,195/60 R 15,088H,195/60 R 15,088H
MORGAN,Plus 4,2011 - 2020,2.0 L 154,255/55 R 16,103V,255/55 R 16,103V
DAEWOO,Nubira,1997 - 2008,1.6 L 106,195/55 R 15,085V,195/55 R 15,085V
DAEWOO,Nubira,1997 - 2008,1.6 L 106,185/65 R 14,086H,185/65 R 14,086H
SSANGYONG,Korando,1997 - 2010,2.3 L 140,235/75 R 15,105T,235/75 R 15,105T
MORGAN,Plus 4,2011 - 2020,2.0 L 145,205/60 R 15,091V,205/60 R 15,091V
MORGAN,Plus 4,2011 - 2020,2.0 L 145,195/60 R 15,088H,195/60 R 15,088H
LAMBORGHINI,Huracan Evo,2014 - 2019,5.2 V10 640,245/30 R 20,090ZR(Y),305/30 R 20,103ZR(Y)
CATERHAM,485 CSR,2013 - ,2.0 L 240,195/45 R 15,078W,245/40 R 15,088W
CATERHAM,485 CSR,2013 - ,2.0 L 240,195/45 R 15,078V,195/45 R 15,078V
SSANGYONG,Korando,1997 - 2010,3.2 L 212,255/70 R 15,108H,255/70 R 15,108H
BYD,Han EV,2022 - ,Electric 487,245/45 R 19,102W,245/45 R 19,102W
LANCIA,Delta I HF Integrale,1979 - 1993,2.0 L 185,195/55 R 15,084V,195/55 R 15,084V
LAND ROVER,Freelander II,2006 - 2015,3.2 L 233,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,3.2 L 233,235/60 R 18,103V,235/60 R 18,103V
